Time,ID,Bus,DataLen,INV_Fast_Torque_Command,INV_Fast_Torque_Feedback,INV_Fast_Motor_Speed,INV_Fast_DC_Bus_Voltage,
946702807.735000,0x000005D0,0,8,0torque:N.m,-0.6torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.738000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.741000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.744000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.747000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.750000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.753000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.756000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.9voltage:V,
946702807.759000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.762000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.765000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.768000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.771000,0x000005D0,0,8,0torque:N.m,-0.5torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.774000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.777000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.780000,0x000005D0,0,8,0torque:N.m,1.2torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.783000,0x000005D0,0,8,0torque:N.m,-0.9torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.786000,0x000005D0,0,8,0torque:N.m,0.2torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.789000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.792000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.3voltage:V,
